Altium Designer Pick and Place Locations
N:\Projects\2023\Active Probe\Probe\board\.\Mfg\Pick Place for Probe.csv

========================================================================================================================
File Design Information:

Date:       18-06-24
Time:       15:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J1","0339-0-15-01-15-27-10-0","TopLayer","MILL-MAX_0339","2.5400","13.5000","360","CONN PIN RCPT"
"J5","0339-0-15-01-15-27-10-0","TopLayer","MILL-MAX_0339","8.5900","18.4760","360","CONN PIN RCPT"
"C5","1.3p","TopLayer","CAPC0402(1005)50_M","9.0000","13.5000","90","CAP CER 1.3PF±0.05PF 50V C0G/NP0 0402"
"C4","1.1p","TopLayer","CAPC0402(1005)50_M","7.9000","13.5000","270","CAP CER 1.1PF±0.05PF 50V C0G/NP0 0402"
"C25","4.7u","TopLayer","CAPC0805(2012)100_M","48.2500","2.7000","180","CAP CER 4.7UF 50V X7R 0805"
"C24","4.7u","TopLayer","CAPC0805(2012)100_M","48.2500","11.6000","180","CAP CER 4.7UF 50V X7R 0805"
"C7","1u","TopLayer","CAPC0805(2012)145_M","52.0750","7.1500","270","Cap Ceramic 1uF 50V X7R 10% SMD 0805 125C Blister T/R"
"R24","4.70K","TopLayer","RESC0603(1608)_M","25.2000","17.7250","180","RES 4.70K OHM 1% 1/10W 0603"
"D2","VLMTG1300-GS08","TopLayer","LED0603(1608)_M","21.9000","17.7250","360","LED GREEN 0603 SMD"
"R13","1k","TopLayer","PVG3A","26.4500","12.0000","90","TRIMMER 1K OHM 0.25W J LEAD TOP"
"R12","10.0K","TopLayer","RESC0402(1005)_M","20.1500","12.8500","360","RES 10.0K OHM 1% 1/16W 0402"
"C21","10n","TopLayer","CAPC0402(1005)50_M","17.1500","11.1500","180","CAP CER 10NF±10% 50V X7R 0402"
"C20","10n","TopLayer","CAPC0402(1005)50_M","12.9000","15.8500","180","CAP CER 10NF±10% 50V X7R 0402"
"C19","10n","TopLayer","CAPC0402(1005)50_M","12.9000","11.1500","360","CAP CER 10NF±10% 50V X7R 0402"
"C18","10n","TopLayer","CAPC0402(1005)50_M","17.1500","15.8500","360","CAP CER 10NF±10% 50V X7R 0402"
"D1","BAT54","TopLayer","INF-PG-SC59_M","53.0500","11.8000","180","DIODE SCHOTTKY 30V 200MA TO236AB"
"C23","4.7u","TopLayer","CAPC0805(2012)100_M","37.4500","4.5500","180","CAP CER 4.7UF 50V X7R 0805"
"C22","4.7u","TopLayer","CAPC0805(2012)100_M","37.4500","10.7500","360","CAP CER 4.7UF 50V X7R 0805"
"R1","100","TopLayer","RESC0402(1005)_M","5.7000","13.5000","90","RES 100 OHM 1% 1/16W 0402"
"R17","1.00K","TopLayer","RESC0402(1005)_M","14.4500","16.7000","90","RES 1.00K OHM 1% 1/16W 0402"
"J2","0339-0-15-01-15-27-10-0","TopLayer","MILL-MAX_0339","16.1150","1.5240","360","CONN PIN RCPT"
"C3","100p","TopLayer","CAPC0402(1005)50_M","22.1500","11.7500","360","CAP CER 100PF±5% 50V C0G 0402"
"C2","47p","TopLayer","CAPC0402(1005)50_M","20.1500","11.7500","360","CAP CER 47PF±5% 50V C0G 0402"
"R11","51.0K","TopLayer","RESC0402(1005)_M","18.1500","12.8500","180","RES 51.0K OHM 1% 1/16W 0402"
"R9","68","TopLayer","RESC0402(1005)_M","18.1500","5.9000","360","RES 68 OHM 1% 1/16W 0402"
"U3","TPS7A39","TopLayer","DSC0010J_NV","37.7000","7.6500","360","IC REG LINEAR POS/NEG ADJ 10WSON"
"U4","LTC3261","TopLayer","MSOP-12_MSE","48.4500","7.1500","90","IC REG CHARG PUMP INV 12MSOP"
"R22","10.2k","TopLayer","RESC0402(1005)_M","42.4000","8.8500","90","RES 10.2K OHM 1% 1/16W 0402"
"R20","41.2k","TopLayer","RESC0402(1005)_M","41.3000","8.8500","270","RES 41.2K OHM 1% 1/16W 0402"
"R21","91.0K","TopLayer","RESC0402(1005)_M","41.3000","6.4500","270","RES 91.0K OHM 1% 1/16W 0402"
"R23","18.0K","TopLayer","RESC0402(1005)_M","42.4000","6.8500","90","RES 18.0K OHM 1% 1/16W 0402"
"J4","2.1/5.5mm","TopLayer","CUI_PJ-002A","58.8000","7.3500","360","CONN PWR JACK 2X5.5MM SOLDER"
"C9","10n","TopLayer","CAPC0402(1005)50_M","34.7425","7.6500","180","CAP CER 10NF±5% 25V C0G 0402"
"C8","10n","TopLayer","CAPC0402(1005)50_M","40.2000","6.4500","270","CAP CER 10NF±5% 25V C0G 0402"
"C6","10n","TopLayer","CAPC0402(1005)50_M","40.2000","8.8500","90","CAP CER 10NF±5% 25V C0G 0402"
"C11","22u","TopLayer","KEMET_B_M","42.8500","3.4500","360","CAP TANT 22UF 10% 16V 1411"
"C10","22u","TopLayer","KEMET_B_M","42.8500","11.8500","180","CAP TANT 22UF 10% 16V 1411"
"C13","100n","TopLayer","CAPC0603(1608)100_M","21.3500","2.7750","180","CAPACITOR CERAMIC, 0.1UF, 50V, X7R, 10%, 0603"
"C12","100n","TopLayer","CAPC0603(1608)100_M","27.7250","7.3250","270","CAPACITOR CERAMIC, 0.1UF, 50V, X7R, 10%, 0603"
"C17","100n LICC","TopLayer","CAPC0306_M","12.9500","9.5000","0","CAP CER 0.1UF 25V X7R 0306"
