Name,Sweep (T1),,,Name,Sweep (T1),,,Name,Sweep (T1),,,
Date,2023-11-17,,,Date,2023-11-17,,,Date,2023-11-17,,,
Time,14:57:03,,,Time,15:12:23,,,Time,15:13:12,,,
Instrument,FPC1500 - 103124/003,,,Instrument,FPC1500 - 103124/003,,,Instrument,FPC1500 - 103124/003,,,
Firmware Version,V1.80,,,Firmware Version,V1.80,,,Firmware Version,V1.80,,,
Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,Meas Mode,Spectrum,,,
Uplink,- - -,,,Uplink,- - -,,,Uplink,- - -,,,
Downlink,- - -,,,Downlink,- - -,,,Downlink,- - -,,,
Channel,- - -,,,Channel,- - -,,,Channel,- - -,,,
Center Frequency,1550000000,Hz,,Center Frequency,1550000000,Hz,,Center Frequency,1550000000,Hz,,
Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,Frequency Offset,0,Hz,,
Span,2900000000,Hz,,Span,2900000000,Hz,,Span,2900000000,Hz,,
Ref Level,-21.2,dBm,,Ref Level,-21.2,dBm,,Ref Level,-21.2,dBm,,
Ref Offset,0,dB,,Ref Offset,0,dB,,Ref Offset,0,dB,,
Ref Position,1.00,,,Ref Position,1.00,,,Ref Position,1.00,,,
Range,30,dB,,Range,30,dB,,Range,30,dB,,
RF Attenuation,Auto Low Distortion,,,RF Attenuation,Auto Low Distortion,,,RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,RF Attenuator,0,dB,,RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,Pre-Amplifier,Off,,,
RF Input,50 Ω,,,RF Input,50 Ω,,,RF Input,50 Ω,,,
RBW,3000000,Hz,,RBW,3000000,Hz,,RBW,3000000,Hz,,
VBW,3000000,Hz,,VBW,3000000,Hz,,VBW,3000000,Hz,,
SWT,0.037,s,,SWT,0.037,s,,SWT,0.037,s,,
Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,Trigger Mode,Free Run,,,
Trigger Level,- - -,,,Trigger Level,- - -,,,Trigger Level,- - -,,,
Trigger Delay,- - -,,,Trigger Delay,- - -,,,Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,Trace Mode,Clear / Write,,,Trace Mode,Clear / Write,,,
Trace Math,Off,,,Trace Math,Off,,,Trace Math,Off,,,
Trace Detector,Sample,,,Trace Detector,Sample,,,Trace Detector,Sample,,,
Primary Transducer,- - -,,,Primary Transducer,- - -,,,Primary Transducer,- - -,,,
