Frequency [Hz],Magnitude [dB],,,
100000000,-20.0424499511719,,,
114500000,-20.0411605834961,,,
129000000,-20.0714073181152,,,
143500000,-20.0852661132813,,,
158000000,-19.9981155395508,,,
172500000,-20.0230140686035,,,
187000000,-20.0642738342285,,,
201500000,-20.017261505127,,,
216000000,-20.0806884765625,,,
230500000,-20.0726261138916,,,
245000000,-19.9825057983398,,,
259500000,-20.0185470581055,,,
274000000,-20.0681571960449,,,
288500000,-20.0335426330566,,,
303000000,-20.0731315612793,,,
317500000,-20.0553703308105,,,
332000000,-20.0141181945801,,,
346500000,-20.0350360870361,,,
361000000,-20.053295135498,,,
375500000,-20.0479755401611,,,
390000000,-20.0690574645996,,,
404500000,-20.0616073608398,,,
419000000,-20.0312309265137,,,
433500000,-20.0324001312256,,,
448000000,-20.0445594787598,,,
462500000,-20.0611763000488,,,
477000000,-20.0432395935059,,,
491500000,-19.9985198974609,,,
506000000,-19.9425964355469,,,
520500000,-19.943302154541,,,
535000000,-19.9910869598389,,,
549500000,-20.007152557373,,,
564000000,-19.9807739257813,,,
578500000,-19.9123687744141,,,
593000000,-19.8353004455566,,,
607500000,-19.8540916442871,,,
622000000,-19.9032077789307,,,
636500000,-19.9113254547119,,,
651000000,-19.8602237701416,,,
665500000,-19.7815761566162,,,
680000000,-19.7640895843506,,,
694500000,-19.8598937988281,,,
709000000,-19.8957195281982,,,
723500000,-19.8473167419434,,,
738000000,-19.8005752563477,,,
752500000,-19.7694988250732,,,
767000000,-19.7645416259766,,,
781500000,-19.8635864257813,,,
796000000,-19.9074993133545,,,
810500000,-19.8643531799316,,,
825000000,-19.8235950469971,,,
839500000,-19.8018608093262,,,
854000000,-19.7837295532227,,,
868500000,-19.8413105010986,,,
883000000,-19.8723030090332,,,
897500000,-19.8679428100586,,,
912000000,-19.8274154663086,,,
926500000,-19.8597068786621,,,
941000000,-19.8996677398682,,,
955500000,-19.9272747039795,,,
970000000,-19.8907413482666,,,
984500000,-19.8080863952637,,,
999000000,-19.7774925231934,,,
1013500000,-19.8297939300537,,,
1028000000,-19.944881439209,,,
1042500000,-20.1127586364746,,,
1057000000,-20.0385131835938,,,
1071500000,-19.8792686462402,,,
1086000000,-19.8618144989014,,,
1100500000,-19.8839454650879,,,
1115000000,-19.922794342041,,,
